,0
0,1
1,0
2,0
3,1
4,1
5,0
6,0
7,0
8,1
9,1
10,1
11,0
12,0
13,1
14,0
15,0
16,1
17,0
18,0
19,0
20,0
21,1
22,1
23,1
24,1
25,1
26,0
27,1
28,0
29,0
30,1
31,0
32,1
33,0
34,1
35,1
36,1
37,0
38,1
39,0
40,1
41,0
42,0
43,1
44,0
45,1
46,0
47,1
48,1
49,1
50,1
51,1
52,1
53,0
54,1
55,1
56,0
57,0
58,1
59,0
60,0
61,1
62,1
63,1
64,1
65,1
66,1
67,1
68,0
69,1
70,1
71,1
72,0
73,0
74,0
75,0
76,0
77,1
78,1
79,0
80,0
81,0
82,0
83,1
84,0
85,1
86,0
87,1
88,1
89,1
90,0
91,1
92,0
93,1
94,0
95,0
96,1
97,1
98,0
99,1
100,1
101,1
102,1
103,1
104,1
105,1
106,1
107,1
108,1
109,1
110,0
111,0
112,1
113,1
114,1
115,1
116,0
117,0
118,0
119,0
120,0
121,0
122,1
123,1
124,1
125,0
126,0
127,1
128,0
129,1
130,0
131,1
132,1
133,0
134,1
135,1
136,1
137,1
138,0
139,1
140,0
141,0
142,0
143,0
144,1
145,1
146,0
147,0
148,0
149,0
150,1
151,1
152,0
153,0
154,1
155,1
156,1
157,1
158,1
159,0
160,0
161,1
162,1
163,0
164,1
165,1
166,1
167,0
168,0
169,1
170,0
171,1
172,1
173,1
174,1
175,0
176,0
177,1
178,1
179,0
180,0
181,0
182,0
183,0
184,1
185,1
186,0
187,1
188,1
189,1
190,1
191,1
192,0
193,1
194,0
195,1
196,0
197,0
198,1
199,1
200,1
201,1
202,0
203,1
204,1
205,1
206,0
207,0
208,0
209,1
210,0
211,0
212,1
213,0
214,1
215,1
216,0
217,1
218,0
219,1
220,0
221,0
222,0
223,0
224,0
225,1
226,1
227,1
228,0
229,1
230,1
231,0
232,1
233,0
234,1
235,0
236,0
237,1
238,0
239,1
240,0
241,1
242,0
243,0
244,0
245,0
246,1
247,1
248,1
249,0
250,1
251,0
252,1
253,0
254,1
255,1
256,1
257,0
258,1
259,0
260,1
261,0
262,1
263,1
264,1
265,1
266,0
267,1
268,1
269,0
270,1
271,1
272,1
273,1
274,1
275,0
276,1
277,1
278,0
279,0
280,1
281,0
282,0
283,0
284,1
285,1
286,0
287,0
288,1
289,0
290,0
291,0
292,1
293,0
294,1
295,1
296,0
297,1
298,0
299,1
300,1
301,0
302,0
303,0
304,1
305,0
306,0
307,0
308,1
309,1
310,1
311,0
312,1
313,0
314,1
315,0
316,0
317,1
318,1
319,1
320,0
321,0
322,1
323,1
324,1
325,1
326,1
327,1
328,0
329,0
330,0
331,1
332,1
333,0
334,1
335,1
336,0
337,0
338,1
339,0
340,0
341,1
342,1
343,1
344,0
345,1
346,1
347,1
348,1
349,1
350,0
351,0
352,1
353,0
354,1
355,1
356,0
357,1
358,1
359,1
360,0
361,1
362,1
363,0
364,1
365,0
366,0
367,1
368,1
369,1
370,0
371,0
372,1
373,1
374,0
375,1
376,0
377,1
378,0
379,0
380,0
381,1
382,1
383,0
384,0
385,0
386,1
387,0
388,0
389,1
390,1
391,1
392,1
393,1
394,1
395,1
396,0
397,1
398,1
399,1
400,0
401,0
402,0
403,1
404,1
405,0
406,1
407,1
408,1
409,0
410,1
411,1
412,0
413,1
414,0
415,0
416,0
417,1
418,1
419,1
420,1
421,0
422,0
423,0
424,0
425,1
426,1
427,0
428,0
429,1
430,0
431,1
432,1
433,0
434,1
435,0
436,1
437,1
438,1
439,1
440,0
441,1
442,1
443,0
444,1
445,1
446,0
447,0
448,1
449,1
450,0
451,1
452,0
453,0
454,0
455,0
456,1
457,1
458,1
459,1
460,0
461,1
462,1
463,0
464,1
465,1
466,0
467,0
468,1
469,1
470,1
471,0
472,1
473,0
474,0
475,0
476,1
477,1
478,1
479,1
480,0
481,1
482,0
483,0
484,1
485,1
486,1
487,0
488,0
489,1
490,1
491,1
492,0
493,1
494,1
495,0
496,1
497,1
498,1
499,1
500,1
501,0
502,1
503,1
504,1
505,0
506,0
507,0
508,0
509,0
510,1
511,1
512,1
513,1
514,1
515,1
516,0
517,1
518,0
519,1
520,1
521,1
522,0
523,0
524,1
525,0
526,0
527,1
528,1
529,1
530,1
531,1
532,1
533,1
534,0
535,1
536,0
537,1
538,0
539,1
540,1
541,0
542,1
543,0
544,0
545,1
546,1
547,0
548,0
549,1
550,1
551,1
552,1
553,0
554,0
555,0
556,0
557,0
558,1
559,1
560,0
561,0
562,1
563,1
564,1
565,0
566,0
567,1
568,0
569,0
570,0
571,0
572,0
573,1
574,1
575,0
576,0
577,1
578,1
579,1
580,0
581,0
582,0
583,1
584,0
585,1
586,1
587,0
588,1
589,0
590,1
591,1
592,1
593,0
594,0
595,1
596,0
597,1
598,1
599,0
600,1
601,0
602,1
603,1
604,1
605,1
606,1
607,0
608,1
609,0
610,0
611,0
612,0
613,0
614,1
615,1
616,0
617,0
618,1
619,0
620,0
621,0
622,1
623,0
624,1
625,1
626,0
627,0
628,0
629,1
630,1
631,1
632,0
633,1
634,0
635,1
636,0
637,1
638,0
639,1
640,1
641,0
642,1
643,0
644,0
645,0
646,0
647,0
648,1
649,0
650,0
651,1
652,1
653,0
654,1
655,0
656,1
657,1
658,1
659,1
660,1
661,1
662,1
663,1
664,1
665,1
666,1
667,1
668,1
669,0
670,0
671,1
672,0
673,1
674,1
675,1
676,1
677,0
678,1
679,0
680,1
681,0
682,1
683,1
684,1
685,0
686,1
687,1
688,1
689,1
690,1
691,0
692,1
693,1
694,1
695,0
696,0
697,0
698,0
699,0
700,0
701,0
702,1
703,1
704,1
705,0
706,1
707,0
708,1
709,0
710,1
711,0
712,1
713,0
714,1
715,1
716,1
717,0
718,1
719,0
720,1
721,1
722,1
723,1
724,1
725,1
726,1
727,0
728,1
729,1
730,0
731,0
732,1
733,1
734,1
735,0
736,0
737,1
738,1
739,1
740,1
741,0
742,0
743,0
744,0
745,1
746,1
747,1
748,0
749,1
750,1
751,1
752,1
753,1
754,0
755,1
756,0
757,1
758,1
759,0
760,1
761,0
762,0
763,0
764,1
765,0
766,1
767,1
768,1
769,1
770,0
771,1
772,0
773,0
774,1
775,0
776,1
777,0
778,0
779,0
780,1
781,1
782,1
783,0
784,0
785,1
786,0
787,1
788,1
789,1
790,1
791,0
792,0
793,1
794,0
795,1
796,1
797,1
798,0
799,1
800,0
801,1
802,0
803,1
804,1
805,0
806,1
807,0
808,1
809,1
810,0
811,0
812,0
813,0
814,1
815,1
816,0
817,1
818,0
819,0
820,0
821,0
822,1
823,1
824,0
825,0
826,0
827,0
828,0
829,0
830,0
831,0
832,0
833,1
834,1
835,0
836,1
837,0
838,0
839,1
840,0
841,1
842,1
843,0
844,0
845,0
846,0
847,1
848,0
849,0
850,1
851,0
852,1
853,1
854,0
855,0
856,1
857,1
858,0
859,0
860,1
861,1
862,0
863,1
864,1
865,1
866,1
867,1
868,1
869,0
870,0
871,0
872,1
873,1
874,0
875,0
876,0
877,1
878,1
879,0
880,0
881,0
882,1
883,0
884,0
885,0
886,0
887,0
888,1
889,0
890,1
891,1
892,0
893,0
894,1
895,1
896,1
897,1
898,0
899,1
900,0
901,1
902,0
903,0
904,0
905,0
906,0
907,1
908,0
909,1
910,0
911,0
912,0
913,0
914,0
915,0
916,0
917,0
918,0
919,0
920,0
921,0
922,1
923,0
924,0
925,0
926,0
927,0
928,0
929,0
930,0
931,0
932,0
933,0
934,0
935,0
936,0
937,0
938,0
939,0
940,0
941,0
942,0
943,0
944,0
945,0
946,0
947,0
948,0
949,0
950,0
951,0
952,0
953,0
954,0
955,0
956,0
957,0
958,0
959,0
960,0
961,0
962,0
963,0
964,0
965,0
966,0
967,0
968,0
969,0
970,0
971,0
972,0
973,0
974,0
975,0
976,0
977,0
978,0
979,0
980,0
981,0
982,0
983,0
984,0
985,0
986,0
987,0
988,0
989,0
990,0
991,0
992,0
993,0
994,0
995,0
996,0
997,0
998,0
999,0
